Date,Open,High,Low,Close,Volume
2025-03-17,171.02,175.01,169.54,171.77,37040325
2025-03-18,172.63,177.01,171.8,174.04,40601039
2025-03-19,174.35,177.62,172.66,175.94,47167162
2025-03-20,177.83,180.97,175.98,178.49,35199985
2025-03-21,178.86,180.87,176.0,179.55,37729533
2025-03-24,175.09,180.01,174.85,176.8,46108985
2025-03-25,175.65,179.75,174.48,176.64,41484624
2025-03-26,173.65,176.5,173.61,175.4,33649229
2025-03-27,178.6,181.75,176.93,178.61,30578947
2025-03-28,179.46,181.32,178.26,180.34,23621426
2025-03-31,179.49,181.71,178.75,179.77,48430998
2025-04-01,179.61,184.46,177.56,181.03,32598454
2025-04-02,183.13,185.36,182.29,184.24,46122489
2025-04-03,184.24,187.26,181.8,185.47,33759025
2025-04-04,185.62,188.9,183.81,187.27,22009689
2025-04-07,186.15,189.96,183.89,187.11,37074690
2025-04-08,184.6,186.39,183.18,185.1,23909359
2025-04-09,184.45,185.4,183.17,184.47,46958016
2025-04-10,185.16,186.14,181.98,185.16,48668131
2025-04-11,185.13,186.96,182.61,185.92,34815680
2025-04-14,183.95,186.2,181.5,184.37,22462846
2025-04-15,180.18,184.26,178.03,181.62,32370687
2025-04-16,179.87,184.36,178.55,180.85,39279411
2025-04-17,177.46,181.13,175.82,178.55,27663274
2025-04-18,179.31,182.09,179.06,180.67,38586846
2025-04-21,178.68,182.03,176.81,178.77,34141757
2025-04-22,174.36,178.16,173.08,175.93,44824530
2025-04-23,175.98,180.37,175.33,177.29,29846056
2025-04-24,177.37,180.98,174.28,177.49,36082636
2025-04-25,177.68,180.47,175.13,177.94,26844395
2025-04-28,177.94,181.61,176.69,179.61,21563574
2025-04-29,176.47,180.0,174.39,177.59,32151575
2025-04-30,174.38,177.09,173.77,175.35,37513365
2025-05-01,174.44,176.92,172.48,175.95,31994771
2025-05-02,177.23,178.24,175.44,177.29,36181145
2025-05-05,173.4,175.83,171.3,174.6,35203203
2025-05-06,174.5,178.2,173.4,174.96,43611939
2025-05-07,172.63,174.45,169.46,172.7,35880589
2025-05-08,175.03,177.23,173.83,175.26,48973335
2025-05-09,173.6,177.95,172.82,175.33,20417657
2025-05-12,174.47,178.66,175.19,176.09,49520915
2025-05-13,174.45,178.96,173.94,175.63,35359735
